data	numer	nip	kontrahent	netto_pln	brutto_pln
2026-07-17	F/004735/26	5422896613	PHUT LINE Krzysztof Bielecki	196.47	196.47
2026-07-16	F/004723/26	7621475097	"HENDERSON" REMIGIUSZ TADEUSZ FIJAŁKOWSKI	142.27	142.27
2026-07-15	F/004683/26	5461397334	MOBI-SERWIS ARTUR PRZYBYSZEWSKI	563.03	563.03
2026-07-14	F/004653/26	9662085454	GALON OLEJE Sp. z o.o	2237.52	2237.52
2026-07-14	F/004652/26	9661846997	BORUTA-KONTENERY BORUTA PAWEŁ	384.78	384.78
2026-07-10	F/004583/26	9660366373	MYSCAR DARIUSZ MYSTKOWSKI	268.28	268.28
2026-07-09	F/004560/26	5372158355	"FILIMON" Ryszard Filimon	510.00	510.00
2026-07-08	F/004538/26	7581793588	TRANS-MAR Marek Kryszpin	1990.34	1990.34
2026-07-08	F/004510/26	9552370047	CUBIC POLSKA SP. Z O.O.	1333.20	1333.20
2026-07-06	F/004459/26	5422437118	FHU MIROSŁAW KONOPKA	223.56	223.56
2026-06-30	F/004374/26	7621475097	"HENDERSON" REMIGIUSZ TADEUSZ FIJAŁKOWSKI	4097.62	4097.62
2026-06-30	F/004347/26	1180742079	FLESZ Sp. z o.o	100.80	100.80
2026-06-29	F/004296/26	5482531594	LUDWIG CZEKOLADA	292.68	292.68
2026-06-29	F/004295/26	5892058507	K&M GATES KAROL I BEATA TREPCZYK SPÓŁKA CYWILNA	565.01	565.01
2026-06-26	F/004282/26	5422437118	FHU MIROSŁAW KONOPKA	117.88	117.88
2026-06-25	F/004241/26	9661558703	CARGO Katarzyna Zalewska-Krysiewicz	332.50	332.50
2026-06-25	F/004238/26	7621475097	"HENDERSON" REMIGIUSZ TADEUSZ FIJAŁKOWSKI	646.24	646.24
2026-06-25	F/004235/26	8470003684	AUTO-MYJNIA	305.50	305.50
2026-06-24	F/004193/26	7221355314	WOJTEKS Wojciech Świerżewski	440.63	440.63
2026-06-22	F/004150/26	7621475097	"HENDERSON" REMIGIUSZ TADEUSZ FIJAŁKOWSKI	2189.00	2189.00
2026-06-22	F/004144/26	5372158355	"FILIMON" Ryszard Filimon	510.00	510.00
2026-06-22	F/004139/26	5421631166	DOMKI KEMPINGOWE Jerzy Prymaka	333.13	333.13
2026-06-19	F/004088/26	8461394001	CAR MAX Maciej Zapolnik	325.09	325.09
2026-06-19	F/004084/26	9662085454	GALON OLEJE Sp. z o.o	993.12	993.12
2026-06-19	F/004080/26	8441152890	AR-TIR Jolanta Kęćko	1270.90	1270.90
2026-06-19	F/004061/26	6692347644	AUTO CENTRUM JACEX Sp.j. R.E.KOZŁOWSCY	732.28	732.28
2026-06-19	F/004058/26	7581305494	FIRMA HANDLOWA MARIANNA BRZÓZKA	658.53	658.53
2026-06-17	F/003999/26	5422662677	DETAL PODLASIE  SP. Z O.O.	61.78	61.78
2026-06-16	F/003980/26	9661558703	CARGO Katarzyna Zalewska-Krysiewicz	921.79	921.79
2026-06-15	F/003938/26	7621475097	"HENDERSON" REMIGIUSZ TADEUSZ FIJAŁKOWSKI	752.02	752.02
2026-06-15	F/003925/26	9662135620	HYDRATEC SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ	235.69	235.69
2026-06-12	F/003883/26	7190002080	STAN-ROL	117.06	117.06
2026-06-12	F/003875/26	7190002080	STAN-ROL	330.88	330.88
2026-06-11	F/003825/26	5421007048	AUTO ZACISZE  KRZYSZTOF BUZUN	65.02	65.02
2026-06-11	F/003822/26	5421219342	QUEST Tomasz Łukaszewicz	54.12	54.12
2026-06-10	F/003802/26	7621475097	"HENDERSON" REMIGIUSZ TADEUSZ FIJAŁKOWSKI	3325.77	3325.77
2026-06-10	F/003781/26	8730224609	WIALAN Langer i Wiatr Spółka Jawna	601.72	601.72
2026-06-09	FK/000041/26	5423456709	BLU Detailing Mateusz Kirejczyk	0.00	0.00
2026-06-09	F/003741/26	5423456709	BLU Detailing Mateusz Kirejczyk	133.56	133.56
2026-06-09	F/003739/26	5423456709	BLU Detailing Mateusz Kirejczyk	41.51	41.51
2026-06-08	FK/000039/26	8982305939	Matsvei Tsiupkin - NEKTOW	0.00	0.00
2026-06-03	F/003658/26	5461004636	PRZEDSIĘBIORSTWO WIELOBRANŻOWE VAGIT	1661.40	1661.40
2026-06-03	F/003644/26	5422895217	YUNIVERSAL PODLASKI SP. Z O.O.	458.46	458.46
2026-06-03	F/003643/26	5422895217	YUNIVERSAL PODLASKI SP. Z O.O.	69.91	69.91
2026-06-03	F/003637/26	9670070823	Przedsiębiorstwo Wielobranżowe Kolor s.c.	770.71	770.71
2026-06-02	P/004612/26		Piotr Pukacki	78.00	78.00
2026-06-02	F/003622/26	7190002080	STAN-ROL	270.00	270.00
2026-06-02	F/003621/26	6030049178	NESTER MICHAŁ NESTERUK	296.40	296.40
2026-05-29	F/003562/26	8411629838	MG Technika KRZYSZTOF GNIBA	653.20	653.20
2026-05-29	F/003561/26	7621475097	"HENDERSON" REMIGIUSZ TADEUSZ FIJAŁKOWSKI	346.65	346.65
2026-05-29	F/003555/26	9662085454	GALON OLEJE Sp. z o.o	2140.47	2140.47
2026-05-29	F/003550/26	5420201794	P.E.U.i M. Sp. z o.o.	520.28	520.28
2026-05-28	F/003518/26	8361722078	Firma Handlowo-Usługowa RABBIT - Sebastian Królik	1696.18	1696.18
2026-05-28	F/003505/26	5461378236	AUTO - HANDEL KATARZYNA GRODZIK	219.45	219.45
2026-05-27	F/003481/26	9662188964	PERFEKT SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ	28.61	28.61
2026-05-27	F/003477/26	8982305939	Matsvei Tsiupkin - NEKTOW	47.12	47.12
2026-05-26	F/003440/26	7321304919	RAPID PIOTR RAKSZEWSKI	353.71	353.71
2026-05-26	F/003431/26	9662157716	PAKIET SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ	15.44	15.44
2026-05-22	F/003379/26	7621475097	"HENDERSON" REMIGIUSZ TADEUSZ FIJAŁKOWSKI	1816.50	1816.50
2026-05-22	F/003365/26	8461394001	CAR MAX Maciej Zapolnik	105.61	105.61
2026-05-22	F/003353/26	8480005503	PTSB "TRANSBUD-EŁK"	158.00	158.00
2026-05-22	F/003352/26	7591261108	HYDROMETAL Tomasz Kowalewski	215.11	215.11
2026-05-22	F/003325/26	5420201794	P.E.U.i M. Sp. z o.o.	203.24	203.24
2026-05-22	F/003308/26	8982305939	Matsvei Tsiupkin - NEKTOW	47.12	47.12
2026-05-21	F/003294/26	9661846997	BORUTA-KONTENERY BORUTA PAWEŁ	375.59	375.59
2026-05-20	FK/000036/26	8480005503	PTSB "TRANSBUD-EŁK"	335.19	335.19
2026-05-20	F/003274/26	8470003684	AUTO-MYJNIA	420.96	420.96
2026-05-20	F/003262/26	5372656604	MA-TRANS MATEUSZ JAŁTUSZYK	116.24	116.24
2026-05-20	F/003259/26	8251639494	FIRMA TRANSPORTOWO-USŁUGOWA	327.31	327.31
2026-05-20	F/003257/26	5372158355	"FILIMON" Ryszard Filimon	963.72	963.72
2026-05-20	F/003255/26	8480005503	PTSB "TRANSBUD-EŁK"	344.95	344.95
2026-05-20	F/003251/26	5242420903	EKODREN NATURALNE SYSTEMY OCZYSZCZANIA	214.56	214.56
2026-05-20	F/003242/26	7190002080	STAN-ROL	270.00	270.00
2026-05-19	F/003219/26	7221472190	"KONKRET" Mechanika Pojazdowa	478.80	478.80
2026-05-18	F/003187/26	7190002080	STAN-ROL	3864.50	3864.50
2026-05-18	F/003168/26	5423456709	BLU Detailing Mateusz Kirejczyk	87.20	87.20
2026-05-15	F/003148/26	8441035960	USŁUGI TRANSPORTOWE I STOLARSKIE	1185.84	1185.84
2026-05-15	F/003129/26	9661212382	P.H.U. ARTUR NYSZTOR	111.80	111.80
2026-05-14	F/003088/26	9662127365	WSPÓLNOTA MIESZKANIOWA PRZY UL. WIADUKT 7	189.00	189.00
2026-05-13	F/003068/26	7690502495	PGE GÓRNICTWO I ENERGETYKA KONWENCJONALNA S.A.	7976.00	7976.00
2026-05-13	F/003057/26	5981471054	MYJNIA SAMOCHODOWA AUTO-PIANA S.C.	160.15	160.15
2026-05-08	F/002943/26	5461004636	PRZEDSIĘBIORSTWO WIELOBRANŻOWE VAGIT	283.74	283.74
2026-05-08	F/002937/26	9661723119	Podolski Paweł	19.50	19.50
2026-05-07	F/002914/26	8460001241	SASANKA DEALER FIRMY HUSQVARNA	247.94	247.94
2026-05-07	F/002904/26	7621475097	"HENDERSON" REMIGIUSZ TADEUSZ FIJAŁKOWSKI	1757.41	1757.41
2026-05-07	F/002891/26	7190002080	STAN-ROL	545.50	545.50
2026-05-07	F/002886/26	9662109597	BAJDARKA SP.Z O.O.	91.79	91.79
2026-05-06	F/002869/26	5421631166	DOMKI KEMPINGOWE Jerzy Prymaka	372.36	372.36
2026-05-06	F/002844/26	5420301277	CENTROWET PZFW SP. Z O.O.	272.18	272.18
2026-05-05	F/002822/26	5422318371	OŚRODEK SZKOLENIA KIEROWCÓW STOP SKRZYPKO MAREK	162.28	162.28
2026-04-29	F/002696/26	5451613948	STEELER Marcin Piasecki	748.30	748.30
2026-04-29	F/002688/26	5423079951	Zakład Ślusarski Michał Tylman	340.16	340.16
2026-04-28	F/002648/26	5471464210	4TECH ANITA JAROSIŃSKA	1970.08	1970.08
2026-04-27	F/002633/26	9661558703	CARGO Katarzyna Zalewska-Krysiewicz	1000.91	1000.91
2026-04-24	F/002594/26	5422851875	MCDA MAGDALENA CHIMKOWSKA	19.50	19.50
2026-04-23	F/002550/26	9512158418	FREIGHTLINER PL Sp. z o.o.	2864.16	2864.16
2026-04-22	F/002530/26	9661104528	MOTOFIRMA Robert Andrysewicz	22.76	22.76
2026-04-22	F/002518/26	5461378236	AUTO - HANDEL KATARZYNA GRODZIK	513.31	513.31
2026-04-21	F/002497/26	7621475097	"HENDERSON" REMIGIUSZ TADEUSZ FIJAŁKOWSKI	657.48	657.48
2026-04-21	F/002493/26	8461003006	PRZEDSIĘBIORSTWO TRANSPORTOWE "NECKO" SP. Z O.O.	105.61	105.61
2026-04-21	F/002477/26	5981471054	MYJNIA SAMOCHODOWA AUTO-PIANA S.C.	85.33	85.33
2026-04-20	F/002448/26	7621475097	"HENDERSON" REMIGIUSZ TADEUSZ FIJAŁKOWSKI	630.28	630.28
2026-04-20	F/002437/26	5461011659	USŁUGI TRANSPORTOWE ADAM POPŁAWSKI	315.25	315.25
2026-04-20	F/002435/26	100007411517	UAB ''Schwimmer''	303.84	303.84
2026-04-20	F/002424/26	5423014905	TRANSPORT DEMBIŃSKI WOJCIECH DEMBIŃSKI	77.23	77.23
2026-04-17	F/002401/26	8461394001	CAR MAX Maciej Zapolnik	185.17	185.17
2026-04-17	F/002353/26	5420010597	"GOLDPOL" Wojciech Łazowski	91.06	91.06
2026-04-17	F/002350/26	6030049178	NESTER MICHAŁ NESTERUK	250.00	250.00
2026-04-16	F/002318/26	5243023989	ORLEN PACZKA SP.Z O.O.	73.14	73.14
2026-04-14	F/002252/26	9552370047	CUBIC POLSKA SP. Z O.O.	527.64	527.64
2026-04-14	F/002249/26	9660759687	PHU ZUBRZYCKI Grzegorz Zubrzycki	255.28	255.28
2026-04-10	F/002185/26	9660848066	PHU "MS" Sławomir Muszyński,	125.16	125.16
2026-04-10	F/002183/26	9662085454	GALON OLEJE Sp. z o.o	3271.74	3271.74
2026-04-09	F/002148/26	8441152890	AR-TIR Jolanta Kęćko	1187.00	1187.00
2026-04-08	F/002104/26	5891803363	Wojciech Kukowski "Wywóz nieczystości"	447.14	447.14
2026-04-08	F/002100/26	9670070823	Przedsiębiorstwo Wielobranżowe Kolor s.c.	636.81	636.81
2026-04-07	F/002072/26	7581790199	AUTO-FOLIE GRZEGORZ KOZŁOWSKI	381.66	381.66
2026-04-03	F/002024/26	5423014905	TRANSPORT DEMBIŃSKI WOJCIECH DEMBIŃSKI	97.55	97.55
2026-04-02	F/002011/26	5381001216	SŁAWTRANS SŁAWOMIR RADZIKOWSKI	255.00	255.00
2026-04-02	F/002010/26	5372158355	"FILIMON" Ryszard Filimon	255.00	255.00
2026-04-02	F/001993/26	5461004636	PRZEDSIĘBIORSTWO WIELOBRANŻOWE VAGIT	1300.48	1300.48
2026-04-02	F/001989/26	5423014905	TRANSPORT DEMBIŃSKI WOJCIECH DEMBIŃSKI	459.29	459.29
2026-04-01	F/001963/26	7321304919	RAPID PIOTR RAKSZEWSKI	353.71	353.71
2026-04-01	F/001961/26	5421686859	Usługi Transportowe Jarosław Pierelotkin	229.74	229.74
2026-03-31	F/001928/26	9661846997	BORUTA-KONTENERY BORUTA PAWEŁ	480.60	480.60
2026-03-31	F/001898/26	7621475097	"HENDERSON" REMIGIUSZ TADEUSZ FIJAŁKOWSKI	1203.43	1203.43
2026-03-30	F/001857/26	5421631166	DOMKI KEMPINGOWE Jerzy Prymaka	97.56	97.56
2026-03-26	F/001792/26	7191127889	MOTO TEDI ADAM DOMITRZ	191.86	191.86
2026-03-24	F/001662/26	1180742079	FLESZ Sp. z o.o	341.53	341.53
2026-03-20	F/001599/26	9661954103	Usługi Hydrauliczne GZ Grzegorz Zieliński	136.07	136.07
2026-03-20	F/001593/26	8361722078	Firma Handlowo-Usługowa RABBIT - Sebastian Królik	1179.28	1179.28
2026-03-19	F/001535/26	7182175587	Rol & Dom Chemia na Dowóz Magda Wiśniewska	313.83	313.83
2026-03-19	F/001516/26	8461394001	CAR MAX Maciej Zapolnik	79.56	79.56
2026-03-19	F/001515/26	8461560853	SKŁADNICA CZĘŚCI I MASZYN S.C.	140.18	140.18
2026-03-18	F/001483/26	5482531594	LUDWIG CZEKOLADA	292.68	292.68
2026-03-16	F/001433/26	7591281648	"BENDIKS" Głębocki Robert	345.45	345.45
2026-03-13	F/001379/26	5422970427	STRUK CARS AND TECHNOLOGIES	81.29	81.29
2026-03-13	F/001372/26	8461003006	PRZEDSIĘBIORSTWO TRANSPORTOWE "NECKO" SP. Z O.O.	105.61	105.61
2026-03-13	F/001370/26	8461394001	CAR MAX Maciej Zapolnik	340.32	340.32
2026-03-12	F/001354/26	5422851875	MCDA MAGDALENA CHIMKOWSKA	19.50	19.50
2026-03-11	F/001297/26	7190002080	STAN-ROL	560.00	560.00
2026-03-11	F/001294/26	5981471054	MYJNIA SAMOCHODOWA AUTO-PIANA S.C.	159.34	159.34
2026-03-10	F/001270/26	7321304919	RAPID PIOTR RAKSZEWSKI	186.13	186.13
2026-03-09	I/000003/26	100007411517	UAB ''Schwimmer''	521.50	521.50
2026-03-04	F/001130/26	7621260089	MELEX TRANS Sławomir Obudziński	312.50	312.50
2026-03-04	F/001104/26	7221472190	"KONKRET" Mechanika Pojazdowa	197.21	197.21
